diseaseFromSourceMappedId,targetId
EFO_0004736,ENSG00000117984
EFO_0004736,ENSG00000084674
EFO_0004736,ENSG00000025434
EFO_0004736,ENSG00000196660
EFO_0004736,ENSG00000196218
EFO_0004736,ENSG00000012504
EFO_0004736,ENSG00000204301
EFO_0004736,ENSG00000086991
EFO_0004736,ENSG00000104870
EFO_0004736,ENSG00000120053
EFO_0004736,ENSG00000204525
EFO_0004736,ENSG00000161091
EFO_0004736,ENSG00000171714
EFO_0004736,ENSG00000120889
EFO_0004736,ENSG00000125703
EFO_0004736,ENSG00000148483
EFO_0004736,ENSG00000121858
EFO_0004736,ENSG00000005471
