diseaseFromSourceMappedId,targetId
HP_0011442,ENSG00000101076
HP_0011442,ENSG00000115840
HP_0011442,ENSG00000126070
HP_0011442,ENSG00000099331
HP_0011442,ENSG00000163132
HP_0011442,ENSG00000154080
HP_0011442,ENSG00000136381
HP_0011442,ENSG00000050748
HP_0011442,ENSG00000132631
HP_0011442,ENSG00000276043
HP_0011442,ENSG00000103035
HP_0011442,ENSG00000198398
HP_0011442,ENSG00000255251
HP_0011442,ENSG00000125355
HP_0011442,ENSG00000006125
HP_0011442,ENSG00000135535
HP_0011442,ENSG00000008196
HP_0011442,ENSG00000203909
HP_0011442,ENSG00000183379
HP_0011442,ENSG00000179388
HP_0011442,ENSG00000172466
HP_0011442,ENSG00000188033
HP_0011442,ENSG00000174238
