diseaseFromSourceMappedId,targetId
EFO_0004458,ENSG00000073008
EFO_0004458,ENSG00000162711
EFO_0004458,ENSG00000132693
EFO_0004458,ENSG00000131482
EFO_0004458,ENSG00000151414
EFO_0004458,ENSG00000130202
EFO_0004458,ENSG00000169291
EFO_0004458,ENSG00000089041
EFO_0004458,ENSG00000143365
EFO_0004458,ENSG00000084734
EFO_0004458,ENSG00000160716
EFO_0004458,ENSG00000132703
EFO_0004458,ENSG00000104859
EFO_0004458,ENSG00000158716
EFO_0004458,ENSG00000130204
EFO_0004458,ENSG00000187796
EFO_0004458,ENSG00000179639
EFO_0004458,ENSG00000110245
EFO_0004458,ENSG00000005381
EFO_0004458,ENSG00000196184
EFO_0004458,ENSG00000104853
