diseaseFromSourceMappedId,targetId
EFO_0007788,ENSG00000139269
EFO_0007788,ENSG00000101745
EFO_0007788,ENSG00000123612
EFO_0007788,ENSG00000010327
EFO_0007788,ENSG00000042286
EFO_0007788,ENSG00000171105
EFO_0007788,ENSG00000079999
EFO_0007788,ENSG00000198743
EFO_0007788,ENSG00000113578
EFO_0007788,ENSG00000132170
EFO_0007788,ENSG00000004399
EFO_0007788,ENSG00000064989
EFO_0007788,ENSG00000167676
EFO_0007788,ENSG00000165029
EFO_0007788,ENSG00000166819
EFO_0007788,ENSG00000135218
EFO_0007788,ENSG00000038945
EFO_0007788,ENSG00000152270
