diseaseFromSourceMappedId,targetId
EFO_0004842,ENSG00000161547
EFO_0004842,ENSG00000163154
EFO_0004842,ENSG00000168769
EFO_0004842,ENSG00000125910
EFO_0004842,ENSG00000096968
EFO_0004842,ENSG00000110245
EFO_0004842,ENSG00000183625
EFO_0004842,ENSG00000173064
EFO_0004842,ENSG00000068831
EFO_0004842,ENSG00000204388
EFO_0004842,ENSG00000137033
EFO_0004842,ENSG00000198502
EFO_0004842,ENSG00000177663
EFO_0004842,ENSG00000121281
EFO_0004842,ENSG00000145777
EFO_0004842,ENSG00000111252
EFO_0004842,ENSG00000244255
EFO_0004842,ENSG00000091181
EFO_0004842,ENSG00000100368
EFO_0004842,ENSG00000204396
EFO_0004842,ENSG00000243649
EFO_0004842,ENSG00000092067
EFO_0004842,ENSG00000206474
EFO_0004842,ENSG00000161905
EFO_0004842,ENSG00000204296
EFO_0004842,ENSG00000113525
EFO_0004842,ENSG00000105851
EFO_0004842,ENSG00000112787
EFO_0004842,ENSG00000075785
EFO_0004842,ENSG00000138193
EFO_0004842,ENSG00000114737
EFO_0004842,ENSG00000160271
EFO_0004842,ENSG00000285245
EFO_0004842,ENSG00000182379
EFO_0004842,ENSG00000105122
EFO_0004842,ENSG00000171456
EFO_0004842,ENSG00000165702
