diseaseFromSourceMappedId,targetId
EFO_0007929,ENSG00000115234
EFO_0007929,ENSG00000084734
EFO_0007929,ENSG00000087237
EFO_0007929,ENSG00000123739
EFO_0007929,ENSG00000175445
EFO_0007929,ENSG00000161649
EFO_0007929,ENSG00000110243
EFO_0007929,ENSG00000213398
EFO_0007929,ENSG00000100979
EFO_0007929,ENSG00000084674
EFO_0007929,ENSG00000073060
EFO_0007929,ENSG00000010327
EFO_0007929,ENSG00000118137
EFO_0007929,ENSG00000009950
EFO_0007929,ENSG00000152270
EFO_0007929,ENSG00000025434
EFO_0007929,ENSG00000110245
EFO_0007929,ENSG00000060566
EFO_0007929,ENSG00000010310
EFO_0007929,ENSG00000149577
EFO_0007929,ENSG00000171105
EFO_0007929,ENSG00000213996
EFO_0007929,ENSG00000132170
EFO_0007929,ENSG00000165029
EFO_0007929,ENSG00000224389
EFO_0007929,ENSG00000285330
EFO_0007929,ENSG00000131482
EFO_0007929,ENSG00000132855
EFO_0007929,ENSG00000124257
EFO_0007929,ENSG00000115194
EFO_0007929,ENSG00000135218
EFO_0007929,ENSG00000130173
EFO_0007929,ENSG00000166819
