diseaseFromSourceMappedId,targetId
EFO_0020946,ENSG00000135218
EFO_0020946,ENSG00000130164
EFO_0020946,ENSG00000213398
EFO_0020946,ENSG00000118137
EFO_0020946,ENSG00000165029
EFO_0020946,ENSG00000166035
EFO_0020946,ENSG00000110243
EFO_0020946,ENSG00000110245
EFO_0020946,ENSG00000084674
EFO_0020946,ENSG00000169174
EFO_0020946,ENSG00000087237
EFO_0020946,ENSG00000152270
EFO_0020946,ENSG00000132855
EFO_0020946,ENSG00000100979
EFO_0020946,ENSG00000124257
EFO_0020946,ENSG00000073060
EFO_0020946,ENSG00000141505
EFO_0020946,ENSG00000175445
EFO_0020946,ENSG00000060566
EFO_0020946,ENSG00000166819
EFO_0020946,ENSG00000010327
EFO_0020946,ENSG00000101670
EFO_0020946,ENSG00000062282
EFO_0020946,ENSG00000025434
EFO_0020946,ENSG00000278318
EFO_0020946,ENSG00000167772
