diseaseFromSourceMappedId,targetId
EFO_0010700,ENSG00000163554
EFO_0010700,ENSG00000152270
EFO_0010700,ENSG00000176170
EFO_0010700,ENSG00000179218
EFO_0010700,ENSG00000161547
EFO_0010700,ENSG00000096968
EFO_0010700,ENSG00000124508
EFO_0010700,ENSG00000168769
EFO_0010700,ENSG00000112077
EFO_0010700,ENSG00000086232
EFO_0010700,ENSG00000244734
EFO_0010700,ENSG00000133742
EFO_0010700,ENSG00000029534
EFO_0010700,ENSG00000145703
EFO_0010700,ENSG00000159023
EFO_0010700,ENSG00000205639
EFO_0010700,ENSG00000137198
EFO_0010700,ENSG00000103335
EFO_0010700,ENSG00000004939
EFO_0010700,ENSG00000143627
EFO_0010700,ENSG00000114395
EFO_0010700,ENSG00000198858
EFO_0010700,ENSG00000133805
EFO_0010700,ENSG00000111252
EFO_0010700,ENSG00000214706
EFO_0010700,ENSG00000101782
EFO_0010700,ENSG00000164061
EFO_0010700,ENSG00000022840
EFO_0010700,ENSG00000149781
EFO_0010700,ENSG00000070182
