diseaseFromSourceMappedId,targetId
EFO_0004696,ENSG00000129214
EFO_0004696,ENSG00000123739
EFO_0004696,ENSG00000129245
EFO_0004696,ENSG00000012504
EFO_0004696,ENSG00000170004
EFO_0004696,ENSG00000149131
EFO_0004696,ENSG00000170608
EFO_0004696,ENSG00000181284
EFO_0004696,ENSG00000101076
EFO_0004696,ENSG00000198146
EFO_0004696,ENSG00000262481
EFO_0004696,ENSG00000184560
EFO_0004696,ENSG00000129255
EFO_0004696,ENSG00000142002
EFO_0004696,ENSG00000161955
EFO_0004696,ENSG00000111700
EFO_0004696,ENSG00000285330
EFO_0004696,ENSG00000132507
EFO_0004696,ENSG00000148773
EFO_0004696,ENSG00000084734
EFO_0004696,ENSG00000125703
EFO_0004696,ENSG00000141499
EFO_0004696,ENSG00000004975
EFO_0004696,ENSG00000181323
EFO_0004696,ENSG00000131482
EFO_0004696,ENSG00000169992
EFO_0004696,ENSG00000132514
EFO_0004696,ENSG00000196712
EFO_0004696,ENSG00000109758
EFO_0004696,ENSG00000217128
EFO_0004696,ENSG00000060566
EFO_0004696,ENSG00000171174
EFO_0004696,ENSG00000257046
EFO_0004696,ENSG00000019991
EFO_0004696,ENSG00000187838
EFO_0004696,ENSG00000205544
EFO_0004696,ENSG00000021826
