diseaseFromSourceMappedId,targetId
EFO_0000537,ENSG00000138792
EFO_0000537,ENSG00000164867
EFO_0000537,ENSG00000061987
EFO_0000537,ENSG00000008710
EFO_0000537,ENSG00000169344
EFO_0000537,ENSG00000144357
EFO_0000537,ENSG00000237440
EFO_0000537,ENSG00000119772
EFO_0000537,ENSG00000141194
EFO_0000537,ENSG00000168769
EFO_0000537,ENSG00000164362
EFO_0000537,ENSG00000171456
EFO_0000537,ENSG00000118762
EFO_0000537,ENSG00000169418
EFO_0000537,ENSG00000182511
EFO_0000537,ENSG00000164116
EFO_0000537,ENSG00000137500
