diseaseFromSourceMappedId,targetId
EFO_0004526,ENSG00000244734
EFO_0004526,ENSG00000163554
EFO_0004526,ENSG00000084774
EFO_0004526,ENSG00000105610
EFO_0004526,ENSG00000127586
EFO_0004526,ENSG00000171456
EFO_0004526,ENSG00000092853
EFO_0004526,ENSG00000078369
EFO_0004526,ENSG00000112077
EFO_0004526,ENSG00000258366
EFO_0004526,ENSG00000175054
EFO_0004526,ENSG00000205250
EFO_0004526,ENSG00000072274
EFO_0004526,ENSG00000162063
EFO_0004526,ENSG00000164362
EFO_0004526,ENSG00000187045
EFO_0004526,ENSG00000113013
EFO_0004526,ENSG00000196171
EFO_0004526,ENSG00000159388
EFO_0004526,ENSG00000029534
EFO_0004526,ENSG00000159023
EFO_0004526,ENSG00000166947
EFO_0004526,ENSG00000137198
EFO_0004526,ENSG00000176742
EFO_0004526,ENSG00000155827
EFO_0004526,ENSG00000129173
EFO_0004526,ENSG00000177084
EFO_0004526,ENSG00000076344
EFO_0004526,ENSG00000106327
EFO_0004526,ENSG00000115524
EFO_0004526,ENSG00000188536
EFO_0004526,ENSG00000205639
EFO_0004526,ENSG00000136122
EFO_0004526,ENSG00000070182
EFO_0004526,ENSG00000141458
EFO_0004526,ENSG00000171848
EFO_0004526,ENSG00000025708
EFO_0004526,ENSG00000004939
EFO_0004526,ENSG00000080031
EFO_0004526,ENSG00000183765
EFO_0004526,ENSG00000158578
EFO_0004526,ENSG00000176225
EFO_0004526,ENSG00000086506
EFO_0004526,ENSG00000042429
EFO_0004526,ENSG00000110245
EFO_0004526,ENSG00000240505
EFO_0004526,ENSG00000175634
EFO_0004526,ENSG00000123739
EFO_0004526,ENSG00000101310
