diseaseFromSourceMappedId,targetId
EFO_0004305,ENSG00000163050
EFO_0004305,ENSG00000258366
EFO_0004305,ENSG00000105610
EFO_0004305,ENSG00000081052
EFO_0004305,ENSG00000115524
EFO_0004305,ENSG00000188536
EFO_0004305,ENSG00000129173
EFO_0004305,ENSG00000244734
EFO_0004305,ENSG00000078369
EFO_0004305,ENSG00000106327
EFO_0004305,ENSG00000104870
EFO_0004305,ENSG00000148300
EFO_0004305,ENSG00000072274
EFO_0004305,ENSG00000125149
EFO_0004305,ENSG00000111252
EFO_0004305,ENSG00000122729
EFO_0004305,ENSG00000183765
EFO_0004305,ENSG00000204524
EFO_0004305,ENSG00000141458
EFO_0004305,ENSG00000114126
EFO_0004305,ENSG00000137198
EFO_0004305,ENSG00000143627
EFO_0004305,ENSG00000135766
EFO_0004305,ENSG00000164362
EFO_0004305,ENSG00000164062
EFO_0004305,ENSG00000159723
EFO_0004305,ENSG00000084774
EFO_0004305,ENSG00000168769
EFO_0004305,ENSG00000179218
EFO_0004305,ENSG00000206172
EFO_0004305,ENSG00000004939
EFO_0004305,ENSG00000089234
EFO_0004305,ENSG00000187266
EFO_0004305,ENSG00000196712
EFO_0004305,ENSG00000206177
EFO_0004305,ENSG00000242612
EFO_0004305,ENSG00000101745
EFO_0004305,ENSG00000027644
EFO_0004305,ENSG00000170214
EFO_0004305,ENSG00000101974
EFO_0004305,ENSG00000183508
EFO_0004305,ENSG00000240505
EFO_0004305,ENSG00000198569
EFO_0004305,ENSG00000167658
EFO_0004305,ENSG00000143365
EFO_0004305,ENSG00000205639
EFO_0004305,ENSG00000137834
EFO_0004305,ENSG00000103335
EFO_0004305,ENSG00000269858
EFO_0004305,ENSG00000163631
EFO_0004305,ENSG00000130427
EFO_0004305,ENSG00000224389
EFO_0004305,ENSG00000064687
EFO_0004305,ENSG00000137404
EFO_0004305,ENSG00000176742
EFO_0004305,ENSG00000161671
EFO_0004305,ENSG00000146830
EFO_0004305,ENSG00000152556
EFO_0004305,ENSG00000114650
EFO_0004305,ENSG00000244623
EFO_0004305,ENSG00000172354
EFO_0004305,ENSG00000158578
