diseaseFromSourceMappedId,targetId
EFO_0007991,ENSG00000145777
EFO_0007991,ENSG00000096968
EFO_0007991,ENSG00000114737
EFO_0007991,ENSG00000171456
EFO_0007991,ENSG00000168769
EFO_0007991,ENSG00000100368
EFO_0007991,ENSG00000163154
EFO_0007991,ENSG00000182379
EFO_0007991,ENSG00000121281
EFO_0007991,ENSG00000183625
EFO_0007991,ENSG00000079999
EFO_0007991,ENSG00000091181
EFO_0007991,ENSG00000161905
EFO_0007991,ENSG00000204296
EFO_0007991,ENSG00000137033
EFO_0007991,ENSG00000165702
EFO_0007991,ENSG00000160271
EFO_0007991,ENSG00000161547
EFO_0007991,ENSG00000092067
EFO_0007991,ENSG00000119772
EFO_0007991,ENSG00000172663
EFO_0007991,ENSG00000075651
EFO_0007991,ENSG00000113525
EFO_0007991,ENSG00000115607
EFO_0007991,ENSG00000285245
EFO_0007991,ENSG00000180871
EFO_0007991,ENSG00000182199
EFO_0007991,ENSG00000078369
EFO_0007991,ENSG00000075785
EFO_0007991,ENSG00000110245
EFO_0007991,ENSG00000173064
EFO_0007991,ENSG00000125910
EFO_0007991,ENSG00000161091
