diseaseFromSourceMappedId,targetId
EFO_0004531,ENSG00000140675
EFO_0004531,ENSG00000081479
EFO_0004531,ENSG00000197891
EFO_0004531,ENSG00000081052
EFO_0004531,ENSG00000118777
EFO_0004531,ENSG00000027644
EFO_0004531,ENSG00000008710
EFO_0004531,ENSG00000109667
EFO_0004531,ENSG00000021488
EFO_0004531,ENSG00000131482
EFO_0004531,ENSG00000174827
EFO_0004531,ENSG00000172818
EFO_0004531,ENSG00000068976
EFO_0004531,ENSG00000074803
EFO_0004531,ENSG00000161542
EFO_0004531,ENSG00000101004
EFO_0004531,ENSG00000178163
EFO_0004531,ENSG00000163792
EFO_0004531,ENSG00000071127
EFO_0004531,ENSG00000133315
EFO_0004531,ENSG00000109684
EFO_0004531,ENSG00000099769
EFO_0004531,ENSG00000143365
EFO_0004531,ENSG00000168065
EFO_0004531,ENSG00000134873
EFO_0004531,ENSG00000169676
EFO_0004531,ENSG00000158125
EFO_0004531,ENSG00000168070
EFO_0004531,ENSG00000115112
EFO_0004531,ENSG00000173264
EFO_0004531,ENSG00000175575
EFO_0004531,ENSG00000136153
EFO_0004531,ENSG00000168071
EFO_0004531,ENSG00000169752
