diseaseFromSourceMappedId,targetId
EFO_0004338,ENSG00000166603
EFO_0004338,ENSG00000138688
EFO_0004338,ENSG00000140443
EFO_0004338,ENSG00000196739
EFO_0004338,ENSG00000066827
EFO_0004338,ENSG00000101191
EFO_0004338,ENSG00000169047
EFO_0004338,ENSG00000136051
EFO_0004338,ENSG00000152270
EFO_0004338,ENSG00000133193
EFO_0004338,ENSG00000136122
EFO_0004338,ENSG00000157766
EFO_0004338,ENSG00000173250
EFO_0004338,ENSG00000186577
EFO_0004338,ENSG00000010310
EFO_0004338,ENSG00000179295
EFO_0004338,ENSG00000146197
EFO_0004338,ENSG00000204396
EFO_0004338,ENSG00000175426
EFO_0004338,ENSG00000142303
EFO_0004338,ENSG00000080345
EFO_0004338,ENSG00000024048
EFO_0004338,ENSG00000136250
EFO_0004338,ENSG00000065882
