diseaseFromSourceMappedId,targetId
EFO_0004339,ENSG00000113389
EFO_0004339,ENSG00000103335
EFO_0004339,ENSG00000066827
EFO_0004339,ENSG00000149948
EFO_0004339,ENSG00000292354
EFO_0004339,ENSG00000159899
EFO_0004339,ENSG00000178177
EFO_0004339,ENSG00000157766
EFO_0004339,ENSG00000257727
EFO_0004339,ENSG00000156140
EFO_0004339,ENSG00000143554
EFO_0004339,ENSG00000118702
EFO_0004339,ENSG00000142303
EFO_0004339,ENSG00000169047
EFO_0004339,ENSG00000143476
EFO_0004339,ENSG00000138336
EFO_0004339,ENSG00000121005
EFO_0004339,ENSG00000166033
EFO_0004339,ENSG00000123572
EFO_0004339,ENSG00000073792
EFO_0004339,ENSG00000068078
EFO_0004339,ENSG00000139044
EFO_0004339,ENSG00000146197
EFO_0004339,ENSG00000185960
EFO_0004339,ENSG00000149257
EFO_0004339,ENSG00000134013
EFO_0004339,ENSG00000169231
EFO_0004339,ENSG00000140470
EFO_0004339,ENSG00000140443
EFO_0004339,ENSG00000152270
EFO_0004339,ENSG00000196712
EFO_0004339,ENSG00000143382
EFO_0004339,ENSG00000163501
EFO_0004339,ENSG00000179295
EFO_0004339,ENSG00000131459
EFO_0004339,ENSG00000162733
EFO_0004339,ENSG00000136068
EFO_0004339,ENSG00000182752
EFO_0004339,ENSG00000168763
EFO_0004339,ENSG00000196739
EFO_0004339,ENSG00000136859
EFO_0004339,ENSG00000129214
EFO_0004339,ENSG00000099769
EFO_0004339,ENSG00000168056
EFO_0004339,ENSG00000176971
EFO_0004339,ENSG00000113739
EFO_0004339,ENSG00000103196
EFO_0004339,ENSG00000091831
EFO_0004339,ENSG00000106571
EFO_0004339,ENSG00000116183
EFO_0004339,ENSG00000178997
EFO_0004339,ENSG00000049192
EFO_0004339,ENSG00000162032
EFO_0004339,ENSG00000163754
