diseaseFromSourceMappedId,targetId
EFO_0004587,ENSG00000176170
EFO_0004587,ENSG00000204614
EFO_0004587,ENSG00000173575
EFO_0004587,ENSG00000179218
EFO_0004587,ENSG00000155903
EFO_0004587,ENSG00000204632
EFO_0004587,ENSG00000111252
EFO_0004587,ENSG00000183765
EFO_0004587,ENSG00000005844
EFO_0004587,ENSG00000064932
EFO_0004587,ENSG00000127528
EFO_0004587,ENSG00000204396
EFO_0004587,ENSG00000068831
EFO_0004587,ENSG00000137343
EFO_0004587,ENSG00000104320
EFO_0004587,ENSG00000125910
EFO_0004587,ENSG00000243649
EFO_0004587,ENSG00000148400
EFO_0004587,ENSG00000204516
EFO_0004587,ENSG00000185989
EFO_0004587,ENSG00000180448
EFO_0004587,ENSG00000204590
EFO_0004587,ENSG00000115956
EFO_0004587,ENSG00000160796
EFO_0004587,ENSG00000149781
EFO_0004587,ENSG00000204388
EFO_0004587,ENSG00000168769
EFO_0004587,ENSG00000267534
EFO_0004587,ENSG00000204305
EFO_0004587,ENSG00000115232
EFO_0004587,ENSG00000204542
EFO_0004587,ENSG00000228727
EFO_0004587,ENSG00000172936
EFO_0004587,ENSG00000185187
EFO_0004587,ENSG00000198563
EFO_0004587,ENSG00000170989
EFO_0004587,ENSG00000112787
EFO_0004587,ENSG00000105397
EFO_0004587,ENSG00000244255
EFO_0004587,ENSG00000008710
EFO_0004587,ENSG00000240505
EFO_0004587,ENSG00000198502
EFO_0004587,ENSG00000167984
EFO_0004587,ENSG00000204580
EFO_0004587,ENSG00000204525
EFO_0004587,ENSG00000160255
EFO_0004587,ENSG00000101745
EFO_0004587,ENSG00000072786
EFO_0004587,ENSG00000066379
EFO_0004587,ENSG00000213654
EFO_0004587,ENSG00000224389
EFO_0004587,ENSG00000105122
EFO_0004587,ENSG00000204424
EFO_0004587,ENSG00000115267
EFO_0004587,ENSG00000250641
EFO_0004587,ENSG00000089820
EFO_0004587,ENSG00000101347
EFO_0004587,ENSG00000204616
EFO_0004587,ENSG00000204296
EFO_0004587,ENSG00000276903
