diseaseFromSourceMappedId,targetId
EFO_0007990,ENSG00000101745
EFO_0007990,ENSG00000171456
EFO_0007990,ENSG00000198055
EFO_0007990,ENSG00000148400
EFO_0007990,ENSG00000180871
EFO_0007990,ENSG00000155903
EFO_0007990,ENSG00000149091
EFO_0007990,ENSG00000068976
EFO_0007990,ENSG00000141458
EFO_0007990,ENSG00000005381
EFO_0007990,ENSG00000124875
EFO_0007990,ENSG00000240505
EFO_0007990,ENSG00000119535
EFO_0007990,ENSG00000185989
EFO_0007990,ENSG00000250641
EFO_0007990,ENSG00000135218
EFO_0007990,ENSG00000115956
EFO_0007990,ENSG00000081041
EFO_0007990,ENSG00000078369
EFO_0007990,ENSG00000169607
EFO_0007990,ENSG00000048405
EFO_0007990,ENSG00000204424
EFO_0007990,ENSG00000173575
EFO_0007990,ENSG00000172936
EFO_0007990,ENSG00000054219
EFO_0007990,ENSG00000196712
EFO_0007990,ENSG00000105397
EFO_0007990,ENSG00000118046
EFO_0007990,ENSG00000105122
EFO_0007990,ENSG00000179218
EFO_0007990,ENSG00000204305
EFO_0007990,ENSG00000108518
EFO_0007990,ENSG00000112077
EFO_0007990,ENSG00000254709
EFO_0007990,ENSG00000096968
EFO_0007990,ENSG00000248672
EFO_0007990,ENSG00000151414
EFO_0007990,ENSG00000004939
EFO_0007990,ENSG00000163466
EFO_0007990,ENSG00000204388
