diseaseFromSourceMappedId,targetId
EFO_0000616,ENSG00000168769
EFO_0000616,ENSG00000179218
EFO_0000616,ENSG00000139618
EFO_0000616,ENSG00000083093
EFO_0000616,ENSG00000012048
EFO_0000616,ENSG00000161547
EFO_0000616,ENSG00000095002
EFO_0000616,ENSG00000171456
EFO_0000616,ENSG00000076242
EFO_0000616,ENSG00000183765
EFO_0000616,ENSG00000149311
EFO_0000616,ENSG00000134982
EFO_0000616,ENSG00000119772
EFO_0000616,ENSG00000116062
EFO_0000616,ENSG00000104044
EFO_0000616,ENSG00000183258
EFO_0000616,ENSG00000101347
EFO_0000616,ENSG00000147889
EFO_0000616,ENSG00000133895
EFO_0000616,ENSG00000096968
EFO_0000616,ENSG00000196712
EFO_0000616,ENSG00000118655
EFO_0000616,ENSG00000115524
EFO_0000616,ENSG00000159184
EFO_0000616,ENSG00000143631
