diseaseFromSourceMappedId,targetId
EFO_0004340,ENSG00000166603
EFO_0004340,ENSG00000165572
EFO_0004340,ENSG00000136051
EFO_0004340,ENSG00000104960
EFO_0004340,ENSG00000204396
EFO_0004340,ENSG00000080345
EFO_0004340,ENSG00000175426
EFO_0004340,ENSG00000173250
EFO_0004340,ENSG00000177352
EFO_0004340,ENSG00000101191
EFO_0004340,ENSG00000137776
EFO_0004340,ENSG00000136250
EFO_0004340,ENSG00000136122
EFO_0004340,ENSG00000010310
EFO_0004340,ENSG00000133193
EFO_0004340,ENSG00000138688
EFO_0004340,ENSG00000024048
