diseaseFromSourceMappedId,targetId
EFO_0004527,ENSG00000274290
EFO_0004527,ENSG00000101745
EFO_0004527,ENSG00000119718
EFO_0004527,ENSG00000137198
EFO_0004527,ENSG00000276903
EFO_0004527,ENSG00000164362
EFO_0004527,ENSG00000004939
EFO_0004527,ENSG00000155827
EFO_0004527,ENSG00000258366
EFO_0004527,ENSG00000187045
EFO_0004527,ENSG00000183765
EFO_0004527,ENSG00000169877
EFO_0004527,ENSG00000204590
EFO_0004527,ENSG00000244734
EFO_0004527,ENSG00000105610
EFO_0004527,ENSG00000112576
EFO_0004527,ENSG00000138246
EFO_0004527,ENSG00000113013
EFO_0004527,ENSG00000106327
EFO_0004527,ENSG00000135776
EFO_0004527,ENSG00000171456
EFO_0004527,ENSG00000188536
EFO_0004527,ENSG00000187266
EFO_0004527,ENSG00000163050
EFO_0004527,ENSG00000205250
EFO_0004527,ENSG00000042429
EFO_0004527,ENSG00000025708
EFO_0004527,ENSG00000147454
EFO_0004527,ENSG00000168298
EFO_0004527,ENSG00000092853
EFO_0004527,ENSG00000244255
EFO_0004527,ENSG00000140694
EFO_0004527,ENSG00000125149
EFO_0004527,ENSG00000158578
EFO_0004527,ENSG00000072274
EFO_0004527,ENSG00000134853
EFO_0004527,ENSG00000115524
EFO_0004527,ENSG00000084774
EFO_0004527,ENSG00000240505
EFO_0004527,ENSG00000103126
EFO_0004527,ENSG00000007384
EFO_0004527,ENSG00000139083
EFO_0004527,ENSG00000198198
EFO_0004527,ENSG00000155506
EFO_0004527,ENSG00000280236
EFO_0004527,ENSG00000076344
EFO_0004527,ENSG00000115211
EFO_0004527,ENSG00000129173
EFO_0004527,ENSG00000105697
EFO_0004527,ENSG00000243649
EFO_0004527,ENSG00000054219
EFO_0004527,ENSG00000176742
EFO_0004527,ENSG00000144908
EFO_0004527,ENSG00000167325
EFO_0004527,ENSG00000165702
EFO_0004527,ENSG00000177084
EFO_0004527,ENSG00000118514
EFO_0004527,ENSG00000206177
EFO_0004527,ENSG00000146039
EFO_0004527,ENSG00000204388
EFO_0004527,ENSG00000127586
EFO_0004527,ENSG00000066379
EFO_0004527,ENSG00000167658
EFO_0004527,ENSG00000183508
EFO_0004527,ENSG00000204516
EFO_0004527,ENSG00000243729
EFO_0004527,ENSG00000175634
EFO_0004527,ENSG00000187837
EFO_0004527,ENSG00000141458
EFO_0004527,ENSG00000112343
EFO_0004527,ENSG00000159723
EFO_0004527,ENSG00000086506
EFO_0004527,ENSG00000136122
EFO_0004527,ENSG00000204424
EFO_0004527,ENSG00000175054
EFO_0004527,ENSG00000176225
EFO_0004527,ENSG00000114126
EFO_0004527,ENSG00000204421
EFO_0004527,ENSG00000078369
EFO_0004527,ENSG00000030110
EFO_0004527,ENSG00000167674
EFO_0004527,ENSG00000204539
EFO_0004527,ENSG00000182512
EFO_0004527,ENSG00000149311
EFO_0004527,ENSG00000248672
EFO_0004527,ENSG00000145386
EFO_0004527,ENSG00000213654
EFO_0004527,ENSG00000206172
EFO_0004527,ENSG00000172661
EFO_0004527,ENSG00000100023
EFO_0004527,ENSG00000205639
EFO_0004527,ENSG00000204394
EFO_0004527,ENSG00000163554
EFO_0004527,ENSG00000135541
EFO_0004527,ENSG00000198793
EFO_0004527,ENSG00000278705
EFO_0004527,ENSG00000137343
EFO_0004527,ENSG00000197265
EFO_0004527,ENSG00000196235
EFO_0004527,ENSG00000185615
EFO_0004527,ENSG00000079689
EFO_0004527,ENSG00000242612
EFO_0004527,ENSG00000198563
EFO_0004527,ENSG00000087077
EFO_0004527,ENSG00000250641
EFO_0004527,ENSG00000124557
EFO_0004527,ENSG00000111801
EFO_0004527,ENSG00000035928
EFO_0004527,ENSG00000007968
EFO_0004527,ENSG00000138709
EFO_0004527,ENSG00000102981
EFO_0004527,ENSG00000158553
EFO_0004527,ENSG00000162368
EFO_0004527,ENSG00000171848
