diseaseFromSourceMappedId,targetId
EFO_0004512,ENSG00000114166
EFO_0004512,ENSG00000204482
EFO_0004512,ENSG00000167103
EFO_0004512,ENSG00000137193
EFO_0004512,ENSG00000105085
EFO_0004512,ENSG00000140470
EFO_0004512,ENSG00000146386
EFO_0004512,ENSG00000174236
EFO_0004512,ENSG00000160179
EFO_0004512,ENSG00000174446
EFO_0004512,ENSG00000175130
EFO_0004512,ENSG00000139194
EFO_0004512,ENSG00000126353
EFO_0004512,ENSG00000125779
EFO_0004512,ENSG00000182389
EFO_0004512,ENSG00000148842
EFO_0004512,ENSG00000006459
EFO_0004512,ENSG00000054282
EFO_0004512,ENSG00000172340
EFO_0004512,ENSG00000149557
EFO_0004512,ENSG00000100219
EFO_0004512,ENSG00000177669
EFO_0004512,ENSG00000180433
EFO_0004512,ENSG00000154493
EFO_0004512,ENSG00000164758
