diseaseFromSourceMappedId,targetId
EFO_0000400,ENSG00000198729
EFO_0000400,ENSG00000106633
EFO_0000400,ENSG00000115145
EFO_0000400,ENSG00000135100
EFO_0000400,ENSG00000115290
EFO_0000400,ENSG00000146830
EFO_0000400,ENSG00000167772
EFO_0000400,ENSG00000165238
EFO_0000400,ENSG00000170315
EFO_0000400,ENSG00000171456
EFO_0000400,ENSG00000185002
EFO_0000400,ENSG00000101076
EFO_0000400,ENSG00000144357
EFO_0000400,ENSG00000132170
EFO_0000400,ENSG00000180815
EFO_0000400,ENSG00000100888
EFO_0000400,ENSG00000198570
EFO_0000400,ENSG00000101752
EFO_0000400,ENSG00000185950
EFO_0000400,ENSG00000131196
EFO_0000400,ENSG00000204396
