diseaseFromSourceMappedId,targetId
EFO_0010701,ENSG00000141458
EFO_0010701,ENSG00000198965
EFO_0010701,ENSG00000159388
EFO_0010701,ENSG00000112077
EFO_0010701,ENSG00000004939
EFO_0010701,ENSG00000163554
EFO_0010701,ENSG00000244734
EFO_0010701,ENSG00000167325
EFO_0010701,ENSG00000177084
EFO_0010701,ENSG00000025708
EFO_0010701,ENSG00000127586
EFO_0010701,ENSG00000176225
EFO_0010701,ENSG00000176742
EFO_0010701,ENSG00000168769
EFO_0010701,ENSG00000136122
EFO_0010701,ENSG00000029534
EFO_0010701,ENSG00000115524
EFO_0010701,ENSG00000110245
EFO_0010701,ENSG00000173064
EFO_0010701,ENSG00000123191
EFO_0010701,ENSG00000129173
EFO_0010701,ENSG00000164362
EFO_0010701,ENSG00000084774
EFO_0010701,ENSG00000129993
EFO_0010701,ENSG00000258366
EFO_0010701,ENSG00000102981
EFO_0010701,ENSG00000175054
EFO_0010701,ENSG00000186306
EFO_0010701,ENSG00000112576
EFO_0010701,ENSG00000166947
EFO_0010701,ENSG00000159023
EFO_0010701,ENSG00000205250
EFO_0010701,ENSG00000204613
EFO_0010701,ENSG00000158578
EFO_0010701,ENSG00000180708
EFO_0010701,ENSG00000171456
EFO_0010701,ENSG00000163050
EFO_0010701,ENSG00000183765
EFO_0010701,ENSG00000101310
EFO_0010701,ENSG00000070182
EFO_0010701,ENSG00000112787
EFO_0010701,ENSG00000176170
EFO_0010701,ENSG00000092853
EFO_0010701,ENSG00000282301
EFO_0010701,ENSG00000096968
EFO_0010701,ENSG00000133742
EFO_0010701,ENSG00000197969
EFO_0010701,ENSG00000244255
EFO_0010701,ENSG00000196171
EFO_0010701,ENSG00000206177
EFO_0010701,ENSG00000214706
EFO_0010701,ENSG00000188536
EFO_0010701,ENSG00000090013
EFO_0010701,ENSG00000175634
EFO_0010701,ENSG00000114126
EFO_0010701,ENSG00000160870
EFO_0010701,ENSG00000101224
EFO_0010701,ENSG00000078668
EFO_0010701,ENSG00000155827
EFO_0010701,ENSG00000159723
EFO_0010701,ENSG00000139083
EFO_0010701,ENSG00000115657
EFO_0010701,ENSG00000170180
EFO_0010701,ENSG00000149311
EFO_0010701,ENSG00000162722
EFO_0010701,ENSG00000096088
EFO_0010701,ENSG00000173442
EFO_0010701,ENSG00000096384
EFO_0010701,ENSG00000243649
EFO_0010701,ENSG00000135837
EFO_0010701,ENSG00000125149
EFO_0010701,ENSG00000179218
