diseaseFromSourceMappedId,targetId
EFO_0004995,ENSG00000140443
EFO_0004995,ENSG00000118702
EFO_0004995,ENSG00000012817
EFO_0004995,ENSG00000169047
EFO_0004995,ENSG00000173889
EFO_0004995,ENSG00000113389
EFO_0004995,ENSG00000066827
EFO_0004995,ENSG00000121853
EFO_0004995,ENSG00000155657
EFO_0004995,ENSG00000100578
EFO_0004995,ENSG00000166603
EFO_0004995,ENSG00000116183
EFO_0004995,ENSG00000179295
EFO_0004995,ENSG00000157766
EFO_0004995,ENSG00000152270
EFO_0004995,ENSG00000138685
EFO_0004995,ENSG00000146197
EFO_0004995,ENSG00000103335
EFO_0004995,ENSG00000048991
EFO_0004995,ENSG00000162032
EFO_0004995,ENSG00000161204
EFO_0004995,ENSG00000178301
EFO_0004995,ENSG00000168496
EFO_0004995,ENSG00000084652
EFO_0004995,ENSG00000182752
EFO_0004995,ENSG00000171199
EFO_0004995,ENSG00000178252
EFO_0004995,ENSG00000136068
EFO_0004995,ENSG00000124507
EFO_0004995,ENSG00000064961
EFO_0004995,ENSG00000073792
EFO_0004995,ENSG00000143476
EFO_0004995,ENSG00000099769
EFO_0004995,ENSG00000113739
EFO_0004995,ENSG00000123572
EFO_0004995,ENSG00000145386
EFO_0004995,ENSG00000259384
EFO_0004995,ENSG00000166033
EFO_0004995,ENSG00000163501
EFO_0004995,ENSG00000178177
EFO_0004995,ENSG00000010310
EFO_0004995,ENSG00000159899
EFO_0004995,ENSG00000196739
EFO_0004995,ENSG00000131459
EFO_0004995,ENSG00000175224
EFO_0004995,ENSG00000169231
EFO_0004995,ENSG00000131482
EFO_0004995,ENSG00000159640
EFO_0004995,ENSG00000180376
EFO_0004995,ENSG00000164151
EFO_0004995,ENSG00000176387
EFO_0004995,ENSG00000091831
EFO_0004995,ENSG00000101224
EFO_0004995,ENSG00000118058
EFO_0004995,ENSG00000122406
EFO_0004995,ENSG00000095906
EFO_0004995,ENSG00000285947
EFO_0004995,ENSG00000129038
EFO_0004995,ENSG00000138688
EFO_0004995,ENSG00000058453
EFO_0004995,ENSG00000134013
EFO_0004995,ENSG00000133124
EFO_0004995,ENSG00000257727
EFO_0004995,ENSG00000151914
EFO_0004995,ENSG00000204525
EFO_0004995,ENSG00000107863
EFO_0004995,ENSG00000101342
EFO_0004995,ENSG00000175318
EFO_0004995,ENSG00000129219
EFO_0004995,ENSG00000204520
EFO_0004995,ENSG00000171105
EFO_0004995,ENSG00000132581
EFO_0004995,ENSG00000141076
EFO_0004995,ENSG00000151718
EFO_0004995,ENSG00000111450
EFO_0004995,ENSG00000025293
EFO_0004995,ENSG00000214530
EFO_0004995,ENSG00000069431
EFO_0004995,ENSG00000173905
EFO_0004995,ENSG00000205978
EFO_0004995,ENSG00000068078
EFO_0004995,ENSG00000134294
EFO_0004995,ENSG00000186577
EFO_0004995,ENSG00000112981
EFO_0004995,ENSG00000259900
EFO_0004995,ENSG00000149177
EFO_0004995,ENSG00000178997
EFO_0004995,ENSG00000013275
EFO_0004995,ENSG00000114784
EFO_0004995,ENSG00000078747
EFO_0004995,ENSG00000177354
EFO_0004995,ENSG00000024048
EFO_0004995,ENSG00000119403
EFO_0004995,ENSG00000138379
EFO_0004995,ENSG00000103196
EFO_0004995,ENSG00000135372
EFO_0004995,ENSG00000101347
EFO_0004995,ENSG00000109625
EFO_0004995,ENSG00000105472
EFO_0004995,ENSG00000024422
EFO_0004995,ENSG00000181690
EFO_0004995,ENSG00000149257
EFO_0004995,ENSG00000149948
EFO_0004995,ENSG00000183340
EFO_0004995,ENSG00000138336
EFO_0004995,ENSG00000162341
EFO_0004995,ENSG00000165458
EFO_0004995,ENSG00000166509
EFO_0004995,ENSG00000124089
EFO_0004995,ENSG00000144785
EFO_0004995,ENSG00000163359
EFO_0004995,ENSG00000119408
EFO_0004995,ENSG00000039319
EFO_0004995,ENSG00000147155
EFO_0004995,ENSG00000141098
EFO_0004995,ENSG00000067646
EFO_0004995,ENSG00000109756
EFO_0004995,ENSG00000171150
EFO_0004995,ENSG00000164180
EFO_0004995,ENSG00000196712
EFO_0004995,ENSG00000163072
EFO_0004995,ENSG00000088930
EFO_0004995,ENSG00000106819
EFO_0004995,ENSG00000119681
