diseaseFromSourceMappedId,targetId
EFO_0005091,ENSG00000122025
EFO_0005091,ENSG00000171456
EFO_0005091,ENSG00000177663
EFO_0005091,ENSG00000204516
EFO_0005091,ENSG00000244255
EFO_0005091,ENSG00000121807
EFO_0005091,ENSG00000152270
EFO_0005091,ENSG00000243649
EFO_0005091,ENSG00000163219
EFO_0005091,ENSG00000092067
EFO_0005091,ENSG00000080031
EFO_0005091,ENSG00000183765
EFO_0005091,ENSG00000168769
EFO_0005091,ENSG00000125910
EFO_0005091,ENSG00000204580
EFO_0005091,ENSG00000065600
EFO_0005091,ENSG00000090554
EFO_0005091,ENSG00000204539
EFO_0005091,ENSG00000240505
EFO_0005091,ENSG00000196712
EFO_0005091,ENSG00000135636
EFO_0005091,ENSG00000121966
EFO_0005091,ENSG00000144648
EFO_0005091,ENSG00000114656
EFO_0005091,ENSG00000140968
EFO_0005091,ENSG00000180953
EFO_0005091,ENSG00000008710
EFO_0005091,ENSG00000115956
EFO_0005091,ENSG00000005381
EFO_0005091,ENSG00000204396
EFO_0005091,ENSG00000112787
EFO_0005091,ENSG00000160593
EFO_0005091,ENSG00000204469
EFO_0005091,ENSG00000204296
EFO_0005091,ENSG00000267534
EFO_0005091,ENSG00000204424
EFO_0005091,ENSG00000250641
EFO_0005091,ENSG00000204388
EFO_0005091,ENSG00000213654
EFO_0005091,ENSG00000198563
EFO_0005091,ENSG00000198055
EFO_0005091,ENSG00000136888
