diseaseFromSourceMappedId,targetId
EFO_0004329,ENSG00000116151
EFO_0004329,ENSG00000046889
EFO_0004329,ENSG00000140650
EFO_0004329,ENSG00000232653
EFO_0004329,ENSG00000196544
EFO_0004329,ENSG00000100983
EFO_0004329,ENSG00000069943
EFO_0004329,ENSG00000167186
EFO_0004329,ENSG00000178057
EFO_0004329,ENSG00000101745
EFO_0004329,ENSG00000150783
EFO_0004329,ENSG00000111237
EFO_0004329,ENSG00000214026
EFO_0004329,ENSG00000248144
EFO_0004329,ENSG00000146830
EFO_0004329,ENSG00000113811
EFO_0004329,ENSG00000133742
EFO_0004329,ENSG00000170899
EFO_0004329,ENSG00000180098
EFO_0004329,ENSG00000134769
EFO_0004329,ENSG00000167625
EFO_0004329,ENSG00000105392
EFO_0004329,ENSG00000159792
EFO_0004329,ENSG00000113494
EFO_0004329,ENSG00000119844
EFO_0004329,ENSG00000249471
EFO_0004329,ENSG00000166959
EFO_0004329,ENSG00000285471
EFO_0004329,ENSG00000184967
