diseaseFromSourceMappedId,targetId
EFO_0000684,ENSG00000106991
EFO_0000684,ENSG00000196712
EFO_0000684,ENSG00000140694
EFO_0000684,ENSG00000164362
EFO_0000684,ENSG00000168769
EFO_0000684,ENSG00000258366
EFO_0000684,ENSG00000161547
EFO_0000684,ENSG00000173480
EFO_0000684,ENSG00000171456
EFO_0000684,ENSG00000143631
EFO_0000684,ENSG00000134086
EFO_0000684,ENSG00000165699
EFO_0000684,ENSG00000034677
EFO_0000684,ENSG00000137033
EFO_0000684,ENSG00000118680
EFO_0000684,ENSG00000143434
EFO_0000684,ENSG00000154227
EFO_0000684,ENSG00000198670
EFO_0000684,ENSG00000167625
EFO_0000684,ENSG00000090339
