diseaseFromSourceMappedId,targetId
EFO_0011011,ENSG00000178252
EFO_0011011,ENSG00000253729
EFO_0011011,ENSG00000163867
EFO_0011011,ENSG00000163501
EFO_0011011,ENSG00000204614
EFO_0011011,ENSG00000109625
EFO_0011011,ENSG00000186951
EFO_0011011,ENSG00000066827
EFO_0011011,ENSG00000140470
EFO_0011011,ENSG00000136802
EFO_0011011,ENSG00000152270
EFO_0011011,ENSG00000113739
EFO_0011011,ENSG00000146197
EFO_0011011,ENSG00000204520
EFO_0011011,ENSG00000116183
EFO_0011011,ENSG00000180061
EFO_0011011,ENSG00000137834
EFO_0011011,ENSG00000244462
EFO_0011011,ENSG00000140443
EFO_0011011,ENSG00000178177
EFO_0011011,ENSG00000123485
EFO_0011011,ENSG00000103126
EFO_0011011,ENSG00000121853
EFO_0011011,ENSG00000123572
EFO_0011011,ENSG00000149257
EFO_0011011,ENSG00000113389
EFO_0011011,ENSG00000138685
EFO_0011011,ENSG00000139044
EFO_0011011,ENSG00000106819
EFO_0011011,ENSG00000257727
EFO_0011011,ENSG00000108821
EFO_0011011,ENSG00000204713
EFO_0011011,ENSG00000176971
EFO_0011011,ENSG00000143341
EFO_0011011,ENSG00000125084
EFO_0011011,ENSG00000157766
EFO_0011011,ENSG00000162032
EFO_0011011,ENSG00000186577
EFO_0011011,ENSG00000155657
EFO_0011011,ENSG00000103335
EFO_0011011,ENSG00000159899
EFO_0011011,ENSG00000259384
EFO_0011011,ENSG00000084674
EFO_0011011,ENSG00000099769
EFO_0011011,ENSG00000121005
EFO_0011011,ENSG00000065600
EFO_0011011,ENSG00000136068
EFO_0011011,ENSG00000198756
EFO_0011011,ENSG00000169047
EFO_0011011,ENSG00000122406
EFO_0011011,ENSG00000136859
EFO_0011011,ENSG00000133121
EFO_0011011,ENSG00000164741
EFO_0011011,ENSG00000124089
EFO_0011011,ENSG00000183688
EFO_0011011,ENSG00000142303
EFO_0011011,ENSG00000182752
EFO_0011011,ENSG00000101440
EFO_0011011,ENSG00000143412
EFO_0011011,ENSG00000049192
EFO_0011011,ENSG00000135414
EFO_0011011,ENSG00000169231
EFO_0011011,ENSG00000118702
EFO_0011011,ENSG00000092439
EFO_0011011,ENSG00000171812
EFO_0011011,ENSG00000197635
EFO_0011011,ENSG00000107984
EFO_0011011,ENSG00000176928
EFO_0011011,ENSG00000131873
EFO_0011011,ENSG00000166033
EFO_0011011,ENSG00000161714
EFO_0011011,ENSG00000091831
EFO_0011011,ENSG00000081800
EFO_0011011,ENSG00000149499
EFO_0011011,ENSG00000049540
EFO_0011011,ENSG00000175318
EFO_0011011,ENSG00000119638
EFO_0011011,ENSG00000187091
EFO_0011011,ENSG00000075651
EFO_0011011,ENSG00000198586
EFO_0011011,ENSG00000144152
EFO_0011011,ENSG00000196712
EFO_0011011,ENSG00000073792
EFO_0011011,ENSG00000025293
EFO_0011011,ENSG00000095906
EFO_0011011,ENSG00000204525
EFO_0011011,ENSG00000086991
EFO_0011011,ENSG00000143476
EFO_0011011,ENSG00000078747
EFO_0011011,ENSG00000178997
EFO_0011011,ENSG00000181690
EFO_0011011,ENSG00000185920
EFO_0011011,ENSG00000101493
EFO_0011011,ENSG00000138434
EFO_0011011,ENSG00000269190
EFO_0011011,ENSG00000100441
EFO_0011011,ENSG00000149948
EFO_0011011,ENSG00000181323
EFO_0011011,ENSG00000171150
EFO_0011011,ENSG00000152467
EFO_0011011,ENSG00000134013
EFO_0011011,ENSG00000196739
