diseaseFromSourceMappedId,targetId
EFO_0000589,ENSG00000130164
EFO_0000589,ENSG00000167772
EFO_0000589,ENSG00000168769
EFO_0000589,ENSG00000008710
EFO_0000589,ENSG00000169174
EFO_0000589,ENSG00000036828
EFO_0000589,ENSG00000084674
EFO_0000589,ENSG00000163631
EFO_0000589,ENSG00000132855
EFO_0000589,ENSG00000124827
EFO_0000589,ENSG00000106633
EFO_0000589,ENSG00000161547
EFO_0000589,ENSG00000138075
EFO_0000589,ENSG00000119772
EFO_0000589,ENSG00000095059
EFO_0000589,ENSG00000171456
EFO_0000589,ENSG00000110245
