diseaseFromSourceMappedId,targetId
EFO_0006941,ENSG00000117139
EFO_0006941,ENSG00000100354
EFO_0006941,ENSG00000155657
EFO_0006941,ENSG00000146830
EFO_0006941,ENSG00000066827
EFO_0006941,ENSG00000163501
EFO_0006941,ENSG00000154358
EFO_0006941,ENSG00000141027
EFO_0006941,ENSG00000142871
EFO_0006941,ENSG00000196296
EFO_0006941,ENSG00000169047
EFO_0006941,ENSG00000130559
EFO_0006941,ENSG00000147548
EFO_0006941,ENSG00000179295
EFO_0006941,ENSG00000113389
EFO_0006941,ENSG00000131459
EFO_0006941,ENSG00000159899
EFO_0006941,ENSG00000168389
EFO_0006941,ENSG00000143631
EFO_0006941,ENSG00000157766
EFO_0006941,ENSG00000183495
EFO_0006941,ENSG00000171812
EFO_0006941,ENSG00000197594
EFO_0006941,ENSG00000101745
EFO_0006941,ENSG00000145730
EFO_0006941,ENSG00000175318
