diseaseFromSourceMappedId,targetId
EFO_0004503,ENSG00000164362
EFO_0004503,ENSG00000166947
EFO_0004503,ENSG00000084774
EFO_0004503,ENSG00000176225
EFO_0004503,ENSG00000159023
EFO_0004503,ENSG00000167325
EFO_0004503,ENSG00000244734
EFO_0004503,ENSG00000170180
EFO_0004503,ENSG00000101745
EFO_0004503,ENSG00000183765
EFO_0004503,ENSG00000114126
EFO_0004503,ENSG00000110245
EFO_0004503,ENSG00000163554
EFO_0004503,ENSG00000141458
EFO_0004503,ENSG00000224389
EFO_0004503,ENSG00000206177
EFO_0004503,ENSG00000133742
EFO_0004503,ENSG00000177084
EFO_0004503,ENSG00000029534
EFO_0004503,ENSG00000123191
EFO_0004503,ENSG00000205250
EFO_0004503,ENSG00000096088
EFO_0004503,ENSG00000213398
EFO_0004503,ENSG00000101310
EFO_0004503,ENSG00000112077
EFO_0004503,ENSG00000197969
EFO_0004503,ENSG00000258366
EFO_0004503,ENSG00000004939
EFO_0004503,ENSG00000112576
EFO_0004503,ENSG00000125149
EFO_0004503,ENSG00000187045
EFO_0004503,ENSG00000127586
EFO_0004503,ENSG00000152270
EFO_0004503,ENSG00000205639
EFO_0004503,ENSG00000186306
EFO_0004503,ENSG00000188536
EFO_0004503,ENSG00000158578
EFO_0004503,ENSG00000129173
EFO_0004503,ENSG00000072274
EFO_0004503,ENSG00000070182
EFO_0004503,ENSG00000025708
EFO_0004503,ENSG00000078668
EFO_0004503,ENSG00000175054
EFO_0004503,ENSG00000244255
EFO_0004503,ENSG00000092853
EFO_0004503,ENSG00000105610
EFO_0004503,ENSG00000198965
EFO_0004503,ENSG00000080031
EFO_0004503,ENSG00000196171
EFO_0004503,ENSG00000123739
EFO_0004503,ENSG00000042429
EFO_0004503,ENSG00000173064
EFO_0004503,ENSG00000240505
EFO_0004503,ENSG00000163050
EFO_0004503,ENSG00000136122
EFO_0004503,ENSG00000064687
EFO_0004503,ENSG00000101224
EFO_0004503,ENSG00000243649
EFO_0004503,ENSG00000180708
EFO_0004503,ENSG00000137198
EFO_0004503,ENSG00000159723
EFO_0004503,ENSG00000137834
EFO_0004503,ENSG00000171456
