diseaseFromSourceMappedId,targetId
EFO_0007777,ENSG00000146197
EFO_0007777,ENSG00000152270
EFO_0007777,ENSG00000010310
EFO_0007777,ENSG00000066827
EFO_0007777,ENSG00000103335
EFO_0007777,ENSG00000169047
EFO_0007777,ENSG00000166603
EFO_0007777,ENSG00000159899
EFO_0007777,ENSG00000119403
EFO_0007777,ENSG00000131482
EFO_0007777,ENSG00000113739
EFO_0007777,ENSG00000155657
EFO_0007777,ENSG00000123572
EFO_0007777,ENSG00000012817
EFO_0007777,ENSG00000099769
EFO_0007777,ENSG00000138685
EFO_0007777,ENSG00000064961
EFO_0007777,ENSG00000140443
EFO_0007777,ENSG00000244462
EFO_0007777,ENSG00000196739
EFO_0007777,ENSG00000157766
EFO_0007777,ENSG00000149177
EFO_0007777,ENSG00000118702
EFO_0007777,ENSG00000116183
EFO_0007777,ENSG00000186577
EFO_0007777,ENSG00000176387
EFO_0007777,ENSG00000178177
EFO_0007777,ENSG00000182752
EFO_0007777,ENSG00000179295
EFO_0007777,ENSG00000132581
EFO_0007777,ENSG00000084652
EFO_0007777,ENSG00000121853
EFO_0007777,ENSG00000162032
EFO_0007777,ENSG00000259384
EFO_0007777,ENSG00000095906
EFO_0007777,ENSG00000145386
EFO_0007777,ENSG00000143476
EFO_0007777,ENSG00000100578
EFO_0007777,ENSG00000091831
EFO_0007777,ENSG00000138688
EFO_0007777,ENSG00000107863
