diseaseFromSourceMappedId,targetId
EFO_0004833,ENSG00000204296
EFO_0004833,ENSG00000111252
EFO_0004833,ENSG00000121966
EFO_0004833,ENSG00000168769
EFO_0004833,ENSG00000162711
EFO_0004833,ENSG00000198055
EFO_0004833,ENSG00000151414
EFO_0004833,ENSG00000108559
EFO_0004833,ENSG00000196712
EFO_0004833,ENSG00000160593
EFO_0004833,ENSG00000183765
EFO_0004833,ENSG00000177663
EFO_0004833,ENSG00000112787
EFO_0004833,ENSG00000119535
EFO_0004833,ENSG00000171564
EFO_0004833,ENSG00000141458
EFO_0004833,ENSG00000135218
EFO_0004833,ENSG00000135925
EFO_0004833,ENSG00000198502
EFO_0004833,ENSG00000180871
EFO_0004833,ENSG00000124875
EFO_0004833,ENSG00000248672
EFO_0004833,ENSG00000078369
EFO_0004833,ENSG00000116954
EFO_0004833,ENSG00000204687
EFO_0004833,ENSG00000109062
EFO_0004833,ENSG00000081041
EFO_0004833,ENSG00000165702
EFO_0004833,ENSG00000125910
EFO_0004833,ENSG00000204525
EFO_0004833,ENSG00000089234
EFO_0004833,ENSG00000091640
EFO_0004833,ENSG00000171456
EFO_0004833,ENSG00000005381
EFO_0004833,ENSG00000004939
EFO_0004833,ENSG00000135870
EFO_0004833,ENSG00000163466
EFO_0004833,ENSG00000173991
EFO_0004833,ENSG00000054219
EFO_0004833,ENSG00000198563
EFO_0004833,ENSG00000064932
EFO_0004833,ENSG00000244255
EFO_0004833,ENSG00000267534
EFO_0004833,ENSG00000135636
EFO_0004833,ENSG00000243649
